energy (keV),counts
6.548714180749437,5
6.5906931178055235,8
6.63267205486161,3
6.674650991917695,4
6.716629928973782,10
6.758608866029868,3
6.800587803085954,4
6.842566740142041,9
6.884545677198126,5
6.9265246142542125,4
6.968503551310299,4
7.010482488366385,6
7.052461425422471,9
7.094440362478557,7
7.136419299534643,8
7.17839823659073,4
7.220377173646815,3
7.2623561107029015,4
7.304335047758988,7
7.346313984815074,10
7.38829292187116,14
7.430271858927246,6
7.472250795983332,16
7.514229733039419,20
7.556208670095504,18
7.598187607151591,13
7.640166544207677,29
7.682145481263763,55
7.724124418319849,73
7.766103355375935,86
7.8080822924320215,130
7.850061229488108,186
7.892040166544193,284
7.93401910360028,346
7.975998040656366,444
8.017976977712452,501
8.059955914768539,578
8.101934851824625,607
8.143913788880711,645
8.185892725936796,574
8.227871662992882,456
8.269850600048969,377
8.311829537105055,317
8.353808474161141,186
8.395787411217228,132
8.437766348273314,74
8.4797452853294,38
8.521724222385485,48
8.563703159441571,27
8.605682096497658,26
8.647661033553744,34
8.68963997060983,35
8.731618907665917,54
8.773597844722003,59
8.81557678177809,81
8.857555718834174,106
8.89953465589026,100
8.941513592946347,113
8.983492530002433,106
9.02547146705852,85
9.067450404114606,86
9.109429341170692,86
9.151408278226778,70
9.193387215282863,41
9.23536615233895,32
9.277345089395036,21
9.319324026451122,16
9.361302963507208,4
9.403281900563295,7
9.445260837619381,5
9.487239774675468,3
9.529218711731554,2
9.571197648787638,1
9.613176585843725,4
9.655155522899811,0
9.697134459955898,1
9.739113397011984,2
9.78109233406807,2
9.823071271124157,2
9.865050208180243,0
9.907029145236327,1
9.949008082292414,1
9.9909870193485,0
10.032965956404587,0
10.074944893460673,0
10.11692383051676,1
10.158902767572846,1
10.200881704628932,2
10.242860641685017,3
10.284839578741103,1
10.32681851579719,2
10.368797452853276,0
10.410776389909362,0
10.452755326965448,1
10.494734264021535,1
10.536713201077621,3
10.578692138133706,0
10.620671075189792,1
10.662650012245878,2
10.704628949301965,1
10.746607886358051,0
10.788586823414137,1
10.830565760470224,0
10.87254469752631,0
10.914523634582396,1
10.956502571638481,1
10.998481508694567,1
11.040460445750654,0
11.08243938280674,1
11.124418319862826,3
11.166397256918913,0
11.208376193974999,3
11.250355131031085,3
11.29233406808717,0
11.334313005143256,1
11.376291942199343,1
11.418270879255429,2
11.460249816311515,2
11.502228753367602,2
11.544207690423688,2
11.586186627479774,1
11.628165564535859,0
11.670144501591945,1
11.712123438648032,0
11.754102375704118,0
11.796081312760204,0
11.83806024981629,2
11.880039186872377,1
11.922018123928463,1
11.963997060984548,2
12.005975998040634,0
12.04795493509672,1
12.089933872152807,3
12.131912809208893,1
12.17389174626498,3
12.215870683321066,1
